epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.2214,1.3293,3.02331,1.53584,0.97195,0.28701,0.47877,0.31928,1.12399,2.60557,1.367,0.000298409,0.000298409,0.000298409
2,81.8734,1.04481,1.69261,1.31376,0.81655,0.49661,0.54791,0.38146,1.03341,1.44518,1.23359,0.00054187,0.00054187,0.00054187
3,104.809,0.98407,1.45012,1.26774,0.84384,0.55188,0.59638,0.41944,1.00239,1.22547,1.23196,0.000725336,0.000725336,0.000725336
4,126.179,0.94457,1.28955,1.22142,0.67167,0.52741,0.58327,0.40783,1.08901,1.2171,1.34548,0.000639027,0.000639027,0.000639027
5,148.698,0.90242,1.1543,1.20504,0.60793,0.69063,0.64285,0.45153,0.98295,1.07604,1.18932,0.000549036,0.000549036,0.000549036
6,171.37,0.84451,1.04127,1.16349,0.58799,0.61817,0.61678,0.43043,0.94209,1.05574,1.18997,0.000459045,0.000459045,0.000459045
7,193.291,0.82137,0.98111,1.14401,0.6624,0.71421,0.72175,0.51467,0.92363,0.88874,1.13863,0.000369054,0.000369054,0.000369054
8,215.429,0.76351,0.91505,1.09935,0.6762,0.62783,0.67151,0.48424,0.89296,0.87542,1.13954,0.000279063,0.000279063,0.000279063
9,238.22,0.74327,0.83468,1.08938,0.63147,0.75704,0.67671,0.49217,0.88074,0.85016,1.11183,0.000189072,0.000189072,0.000189072
10,261.073,0.70058,0.79169,1.05334,0.66473,0.68993,0.70053,0.51553,0.8552,0.8285,1.09274,9.9081e-05,9.9081e-05,9.9081e-05
