epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.3061,1.30032,3.45661,1.31924,0.47096,0.32943,0.25574,0.16917,1.07897,2.16826,1.15998,0.000184849,0.000184849,0.000184849
2,162.304,1.0953,2.23009,1.18765,0.463,0.38583,0.33225,0.23381,0.9124,1.7518,1.06413,0.000362853,0.000362853,0.000362853
3,248.854,1.01746,1.96272,1.14384,0.56754,0.37119,0.33691,0.2388,0.90997,1.71375,1.04502,0.000533518,0.000533518,0.000533518
4,334.391,0.97799,1.8322,1.11402,0.47876,0.4243,0.39208,0.28532,0.85338,1.58952,1.02067,0.000522974,0.000522974,0.000522974
5,420.802,0.94091,1.74693,1.09315,0.61669,0.45071,0.42326,0.31397,0.81792,1.45908,1.00312,0.000511965,0.000511965,0.000511965
6,506.4,0.91883,1.68372,1.07742,0.55179,0.44833,0.43411,0.32673,0.79818,1.4217,0.99542,0.000500956,0.000500956,0.000500956
7,592.08,0.90219,1.62765,1.06831,0.62698,0.44782,0.44858,0.33776,0.78757,1.38713,0.98659,0.000489947,0.000489947,0.000489947
8,678.848,0.88676,1.56571,1.06153,0.64573,0.46226,0.46503,0.35428,0.78027,1.33289,0.97875,0.000478938,0.000478938,0.000478938
9,764.829,0.8777,1.5448,1.05547,0.59107,0.47182,0.47404,0.36553,0.75439,1.3,0.96806,0.00046793,0.00046793,0.00046793
10,850.904,0.85377,1.48807,1.04072,0.68171,0.44996,0.47127,0.36333,0.76543,1.30604,0.97257,0.000456921,0.000456921,0.000456921
11,937.506,0.85112,1.47845,1.04137,0.69443,0.45622,0.48928,0.37832,0.75107,1.24318,0.96201,0.000445912,0.000445912,0.000445912
12,1025.11,0.84413,1.43465,1.03731,0.65639,0.47985,0.49087,0.37626,0.76207,1.25609,0.96917,0.000434903,0.000434903,0.000434903
13,1112.72,0.837,1.42513,1.0344,0.69749,0.48458,0.50217,0.39014,0.73692,1.21358,0.95295,0.000423894,0.000423894,0.000423894
14,1200.82,0.82564,1.37941,1.02679,0.69699,0.46675,0.4971,0.38862,0.72926,1.26476,0.95793,0.000412886,0.000412886,0.000412886
15,1288.51,0.81775,1.36618,1.02061,0.63353,0.50141,0.52473,0.41044,0.73296,1.15898,0.95082,0.000401877,0.000401877,0.000401877
16,1376.07,0.81188,1.33817,1.01737,0.65811,0.50081,0.52414,0.41126,0.72183,1.14625,0.9388,0.000390868,0.000390868,0.000390868
